run,key,regime,user,controller,feature_kind,method,M,L,proposal_std,episodes,task_success_count,successful_target_count,target_rate,fallback_count,mean_valid_current_fraction,batch_replan_seconds
mode-aligned-best-M8-std1,gaussian__lower_wide_width__learned_20,gaussian,lower_wide_width,learned20,mode,best,8,4,1.0,16,16,9,0.5625,0,1.0,11.82902218902018
mode-aligned-ablation-M32-std1,centered__upper_narrow_direction__soft__m32,centered,upper_narrow_direction,oracle,mode,soft,32,4,1.0,16,16,16,1.0,0,1.0,16.12138560798485
mode-aligned-ablation-M32-std1,centered__upper_narrow_direction__best__m32,centered,upper_narrow_direction,oracle,mode,best,32,4,1.0,16,16,16,1.0,0,1.0,16.37695819605142
mode-aligned-ablation-M32-std1,centered__upper_narrow_width__soft__m32,centered,upper_narrow_width,oracle,mode,soft,32,4,1.0,16,16,14,0.875,0,1.0,13.891866585996468
mode-aligned-ablation-M32-std1,centered__upper_narrow_width__best__m32,centered,upper_narrow_width,oracle,mode,best,32,4,1.0,16,16,16,1.0,0,1.0,12.54190487798769
mode-aligned-ablation-M32-std1,centered__upper_wide_direction__soft__m32,centered,upper_wide_direction,oracle,mode,soft,32,4,1.0,16,16,0,0.0,0,1.0,12.616091044037603
mode-aligned-ablation-M32-std1,centered__upper_wide_direction__best__m32,centered,upper_wide_direction,oracle,mode,best,32,4,1.0,16,16,0,0.0,0,1.0,16.25504232000094
mode-aligned-ablation-M32-std1,centered__upper_wide_width__soft__m32,centered,upper_wide_width,oracle,mode,soft,32,4,1.0,16,16,0,0.0,0,1.0,16.30420724704163
mode-aligned-ablation-M32-std1,centered__upper_wide_width__best__m32,centered,upper_wide_width,oracle,mode,best,32,4,1.0,16,16,0,0.0,0,1.0,16.481438650982454
mode-aligned-ablation-M32-std1,centered__lower_narrow_direction__soft__m32,centered,lower_narrow_direction,oracle,mode,soft,32,4,1.0,16,16,16,1.0,0,1.0,16.325629080994986
mode-aligned-ablation-M32-std1,centered__lower_narrow_direction__best__m32,centered,lower_narrow_direction,oracle,mode,best,32,4,1.0,16,16,16,1.0,0,1.0,16.400134426017758
mode-aligned-ablation-M32-std1,centered__lower_narrow_width__soft__m32,centered,lower_narrow_width,oracle,mode,soft,32,4,1.0,16,16,15,0.9375,0,1.0,16.213804383936804
mode-aligned-ablation-M32-std1,centered__lower_narrow_width__best__m32,centered,lower_narrow_width,oracle,mode,best,32,4,1.0,16,16,16,1.0,0,1.0,16.402288340963423
mode-aligned-ablation-M32-std1,centered__lower_wide_direction__soft__m32,centered,lower_wide_direction,oracle,mode,soft,32,4,1.0,16,16,0,0.0,0,1.0,16.683968388999347
mode-aligned-ablation-M32-std1,centered__lower_wide_direction__best__m32,centered,lower_wide_direction,oracle,mode,best,32,4,1.0,16,16,0,0.0,0,1.0,16.69820277299732
mode-aligned-ablation-M32-std1,centered__lower_wide_width__soft__m32,centered,lower_wide_width,oracle,mode,soft,32,4,1.0,16,16,0,0.0,0,1.0,15.691339656012133
mode-aligned-ablation-M32-std1,centered__lower_wide_width__best__m32,centered,lower_wide_width,oracle,mode,best,32,4,1.0,16,16,0,0.0,0,1.0,15.769855862075929
mode-aligned-ablation-M32-std1,gaussian__upper_narrow_direction__soft__m32,gaussian,upper_narrow_direction,oracle,mode,soft,32,4,1.0,16,16,3,0.1875,0,1.0,15.805258359992877
mode-aligned-ablation-M32-std1,gaussian__upper_narrow_direction__best__m32,gaussian,upper_narrow_direction,oracle,mode,best,32,4,1.0,16,16,3,0.1875,0,1.0,15.779988740046974
mode-aligned-ablation-M32-std1,gaussian__upper_narrow_width__soft__m32,gaussian,upper_narrow_width,oracle,mode,soft,32,4,1.0,16,16,3,0.1875,0,1.0,15.799545636109542
mode-aligned-ablation-M32-std1,gaussian__upper_narrow_width__best__m32,gaussian,upper_narrow_width,oracle,mode,best,32,4,1.0,16,16,3,0.1875,0,1.0,15.780221261898987
mode-aligned-ablation-M32-std1,gaussian__upper_wide_direction__soft__m32,gaussian,upper_wide_direction,oracle,mode,soft,32,4,1.0,16,16,6,0.375,0,1.0,15.893951217993163
mode-aligned-ablation-M32-std1,gaussian__upper_wide_direction__best__m32,gaussian,upper_wide_direction,oracle,mode,best,32,4,1.0,16,16,6,0.375,0,1.0,15.790605747082736
mode-aligned-ablation-M32-std1,gaussian__upper_wide_width__soft__m32,gaussian,upper_wide_width,oracle,mode,soft,32,4,1.0,16,16,6,0.375,0,1.0,15.778154205996543
mode-aligned-ablation-M32-std1,gaussian__upper_wide_width__best__m32,gaussian,upper_wide_width,oracle,mode,best,32,4,1.0,16,16,6,0.375,0,1.0,15.863799091952387
mode-aligned-ablation-M32-std1,gaussian__lower_narrow_direction__soft__m32,gaussian,lower_narrow_direction,oracle,mode,soft,32,4,1.0,16,16,3,0.1875,0,1.0,15.856848943047225
mode-aligned-ablation-M32-std1,gaussian__lower_narrow_direction__best__m32,gaussian,lower_narrow_direction,oracle,mode,best,32,4,1.0,16,16,3,0.1875,0,1.0,15.760755742026959
mode-aligned-ablation-M32-std1,gaussian__lower_narrow_width__soft__m32,gaussian,lower_narrow_width,oracle,mode,soft,32,4,1.0,16,16,3,0.1875,0,1.0,15.850597009062767
mode-aligned-ablation-M32-std1,gaussian__lower_narrow_width__best__m32,gaussian,lower_narrow_width,oracle,mode,best,32,4,1.0,16,16,3,0.1875,0,1.0,15.873598885023966
mode-aligned-ablation-M32-std1,gaussian__lower_wide_direction__soft__m32,gaussian,lower_wide_direction,oracle,mode,soft,32,4,1.0,16,16,9,0.5625,0,1.0,15.89749386504991
mode-aligned-ablation-M32-std1,gaussian__lower_wide_direction__best__m32,gaussian,lower_wide_direction,oracle,mode,best,32,4,1.0,16,16,9,0.5625,0,1.0,15.873905966000166
